media_title,scope,category,type,tier
Yorkshire Evening Post,Local,,Print/Online,1
yorkshireeveningpost.co.uk,Local,,Print/Online,1
South Leeds Life,Local,,Print/Online,1
West Leeds Dispatch,Local,,Print/Online,1
westleedsdispatch.com,Local,,Print/Online,1
Culture Vulture,Local,,Print/Online,1
Leeds List,Local,,Print/Online,1
leeds-list.com,Local,,Print/Online,1
Leeds Guide,Local,,Print/Online,1
Leeds Live,Local,,Print/Online,1
leeds-live.co.uk,Local,,Print/Online,1 
The Griffon,Local,,Print/Online,1
South Leeds Life,Local,,Print/Online,1
southleedslife.com,Local,,Print/Online,1
harrogateadvertiser.co.uk,Local,,Print/Online,
thetelegraphandargus.co.uk,Local,,Print/Online,
Yorkshire Post,Regional,,Print/Online,1
Yorkshirepost.co.uk,Regional,,Print/Online,1
thebusinessdesk.com,Regional,,Print/Online,1
Yorkshire Life,Regional,,Print/Online,1
Big Issue in the North,Regional,,Print/Online,1
Living North,Regional,,Print/Online,1
Yorkshire Living,Regional,,Print/Online,1
H&N,Regional,,Print/Online,1
Yorkshire Business Insider,Regional,,Print/Online,1
insidermedia.com,Regional,,Print/Online,1
topicuk.co.uk,Regional,,Print/Online,1
TopicUK,Regional,,Print/Online,1
prolificnorth.co.uk,Regional,,Print/Online,1
businessupnorth.co.uk,Regional,,Print/Online,
on-magazine.co.uk,Regional,,Print/Online,1
yorkshirebusinessdaily.co.uk,Regional,,Print/Online,1
ITV Calendar,Local/Regional,,Broadcast,1
BBC Radio Leeds,Regional,,Broadcast,1
BBC Look North,Local/Regional,,Broadcast,1
Chapel FM,Local/Regional,,Broadcast,1
Sable Radio,Local/Regional,,Broadcast,1
Pulse FM,Local/Regional,,Broadcast,2
Greatest Hits Radio,Local/Regional,,Broadcast,2
Radio Aire,Local/Regional,,Broadcast,2
LSR FM,Local/Regional,,Broadcast,2
Rhubarb Radio,Local/Regional,,Broadcast,2
The Guardian,National,Northern Correspondents,Print,1
Sunday Times,National,Northern Correspondents,Print,1
The Times,National,Northern Correspondents,Print,1
Daily Express,National,Northern Correspondents,Print,2
Financial Times,National,Northern Correspondents,Print,2
Daily Mail,National,Northern Correspondents,Print,2
i,National,Northern Correspondents,Print,2
The Guardian,National,Culture,,1
BBC,National,Culture,,1
Daily Telegraph,National,Culture,,1
Sunday Times,National,Culture,,1
i,National,Culture,,1
Press Association,National,Culture,,2
BBC Online,National,Culture,,2
The Times,National,Specialist,,2
Guardian Professionals Network,National,Specialist,,2
Freelance,National,Photography,,1
Daily Telegraph,National,Photography,,1
Guardian,National,Photography,,2
Sunday Telegraph,National,Photography,,2
Sunday Times,National,Photography,,2
The Times,National,Photography,,2
FT,National,Photography,,2
PA,National,Photographers/Agencies,,1
AFP,National,Photographers/Agencies,,1
Guzelian,National,Photographers/Agencies,,2
BBC Radio 4 - Front Row,National,,Broadcast/Digital,1
BBC Radio 4 - This Cultural Life,National,,Broadcast/Digital,1
BBC World Service - The Arts Hour,National,,Broadcast/Digital,1
Channel 4 News,National,,Broadcast/Digital,1
BBC Arts,National,,Broadcast/Digital,1
ITV News - Arts,National,,Broadcast/Digital,1
Times Radio,National,,Broadcast/Digital,1
BBC North,National,,Broadcast/Digital,1
BBC Radio 2,National,,Broadcast/Digital,1
1 extra,National,,Broadcast/Digital,1
R4 Saturday Live,National,,Broadcast/Digital,1
BBC,National,,Broadcast/Digital,1
BBC Woman's Hour,National,,Broadcast/Digital,2
R4 Saturday review,National,,Broadcast/Digital,2
The One Show,National,,Broadcast/Digital,2
BBC R4 Arts,National,,Broadcast/Digital,2
Blue Peter,National,,Broadcast/Digital,2
The Steph McGovern Show,National,,Broadcast/Digital,2
BBC Radio 3 Free Thinking,National,,Broadcast/Digital,2
BBC 5 Live- Nihal,National,,Broadcast/Digital,2
Cerys Matthews - 6 Music,National,,Broadcast/Digital,2
BBC Radio 4 - Today programme,National,,Broadcast/Digital,2
Ch 5,National,,Broadcast/Digital,2
Sky News,National,,Broadcast/Digital,2
Press Association,National,,Broadcast/Digital,2
Tortoise,,Current affairs,Broadcast/Digital,1
standardissuemagazine.com,,Current affairs,Broadcast/Digital,1
Ethos,,Current affairs,Broadcast/Digital,1
Gal-dem,,Current affairs,Broadcast/Digital,1
Vice,,Current affairs,Broadcast/Digital,1
cityam.com,National,Current affairs,Online,1
Harpy,,Current affairs,Broadcast/Digital,2
Nrth Lass,,Current affairs,Broadcast/Digital,2
The conversation,,Current affairs,Broadcast/Digital,2
Womanthology,,Current affairs,Broadcast/Digital,2
Artmuso.com,,Current affairs,Broadcast/Digital,2
justaplatform.com,,Current affairs,Broadcast/Digital,2
leadingculturedestinations.com,,Current affairs,Broadcast/Digital,2
https://newhumanist.org.uk/,,Current affairs,Broadcast/Digital,2
The Skinny,,Current affairs,Broadcast/Digital,2
trebuchet-magazine.com,,Current affairs,Broadcast/Digital,2
The Atlantic,,Current affairs,Broadcast/Digital,2
New Statesman,,Current affairs,Broadcast/Digital,2
Economist,,Current affairs,Broadcast/Digital,2
Bustle,,Current affairs,Broadcast/Digital,2
The Influential Women Podcast,,Podcasts,Broadcast/Digital,1
Theatre Voice,,Podcasts,Broadcast/Digital,1
In Good Company,,Podcasts,Broadcast/Digital,1
Trebuchet talks,,Podcasts,Broadcast/Digital,1
Exeunt (Pursued By A Bear),,Podcasts,Broadcast/Digital,1
Asian Sunday,,Black and Asian media,,1
Asian Express,,Black and Asian media,,1
Asian Leader,,Black and Asian media,,1
The Voice,,Black and Asian media,,1
Asian Standard,,Black and Asian media,,1
BBC Asian Network,,Black and Asian media,,1
Attitude,,LGBTQ+ media,,1
Bent,,LGBTQ+ media,,1
Boyz,,LGBTQ+ media,,1
DIVA,,LGBTQ+ media,,1
Gay Tmes,,LGBTQ+ media,,1
Pink News,,LGBTQ+ media,,1
Arts Professional,Trade,Specialist arts & culture,,1
artsprofessional.co.uk,Trade,Specialist arts & culture,,1
Stage / Digital Theatre,,Specialist arts & culture,,1
Exeunt,,Specialist arts & culture,,1
AN,,Specialist arts & culture,,1
AI,,Specialist arts & culture,,1
The Stage,,Specialist arts & culture,,1
Museums + Heritage Advisor,,Specialist arts & culture,,1
Museums Journal,,Specialist arts & culture,,1
The Developer,,Specialist arts & culture,,1
Asian Culture Vulture,,Specialist arts & culture,,1
Off/Stage,,Specialist arts & culture,,1
museumassociation.org,Trade,Specialist arts & culture,,1
