week_ending,attendees,cumulative_attendees
2022-05-06,0,0
2022-05-13,12,12
2022-05-20,44,56
2022-05-27,24,80
2022-06-03,14,94
2022-06-10,10,104
2022-06-17,33,137
2022-06-24,65,202
2022-07-01,23,225
2022-07-08,13,238
2022-07-15,16,254
