week_ending,events,audience,cumulative_events,cumulative_audience
2023-06-16,1,600,1,600
2023-06-23,2,3000,3,3600
2023-06-30,3,4000,6,7600
2023-07-07,6,6554,12,14154
2023-07-14,4,1418,16,15572
2023-07-21,1,3000,17,18572
2023-07-28,6,1426,23,19998
2023-08-04,1,500,24,20498
2023-08-11,3,1275,27,21773
2023-08-18,3,950,30,22723
2023-08-25,2,2700,32,25423
2023-09-01,2,800,34,26223
2023-09-08,0,0,34,26223
2023-09-15,1,660,35,26883
