start_date,events,cumulative_events
2022-09-30,1,1
2022-10-31,2,3
2022-11-30,0,3
2022-12-31,0,3
2023-01-31,4,7
2023-02-28,7,14
2023-03-31,8,22
2023-04-30,16,38
2023-05-31,29,67
2023-06-30,19,86
2023-07-31,30,116
