week_ending,events,audience,cumulative_events,cumulative_audience
2023-08-04,2,236,2,236
2023-08-11,3,194,5,430
2023-08-18,2,160,7,590
2023-08-25,2,18,9,608
2023-09-01,0,0,9,608
2023-09-08,1,0,10,608
2023-09-15,3,46,13,654
2023-09-22,0,0,13,654
2023-09-29,1,0,14,654
2023-10-06,1,233,15,887
2023-10-13,0,0,15,887
2023-10-20,3,160,18,1047
2023-10-27,10,179,28,1226
2023-11-03,7,323,35,1549
2023-11-10,3,168,38,1717
2023-11-17,0,0,38,1717
2023-11-24,7,545,45,2262
2023-12-01,0,0,45,2262
2023-12-08,0,0,45,2262
2023-12-15,0,0,45,2262
2023-12-22,6,0,51,2262
