month,orders,tickets,cumulative_orders,cumulative_tickets
2023-03-01,14,26,14,26
2023-04-01,453,965,467,991
2023-05-01,570,1172,1037,2163
2023-06-01,498,1940,1535,4103
2023-07-01,560,1810,2095,5913
2023-08-01,384,828,2479,6741
2023-09-01,426,768,2905,7509
2023-10-01,314,623,3219,8132
2023-11-01,360,842,3579,8974
2023-12-01,224,555,3803,9529
